Class,Class Name,True Positives,False Positives,False Negatives,True Negatives,Precision,Recall,F1 Score
0,apple,90,7,10,9893,0.9278350515463918,0.9,0.9137055837563451
1,aquarium_fish,94,8,6,9892,0.9215686274509803,0.94,0.9306930693069307
2,baby,67,17,33,9883,0.7976190476190477,0.67,0.7282608695652173
3,bear,80,23,20,9877,0.7766990291262136,0.8,0.788177339901478
4,beaver,72,41,28,9859,0.6371681415929203,0.72,0.6760563380281691
5,bed,84,17,16,9883,0.8316831683168316,0.84,0.835820895522388
6,bee,91,10,9,9890,0.900990099009901,0.91,0.9054726368159204
7,beetle,85,19,15,9881,0.8173076923076923,0.85,0.8333333333333334
8,bicycle,91,3,9,9897,0.9680851063829787,0.91,0.9381443298969071
9,bottle,90,8,10,9892,0.9183673469387755,0.9,0.9090909090909091
10,bowl,64,22,36,9878,0.7441860465116279,0.64,0.6881720430107526
11,boy,58,37,42,9863,0.6105263157894737,0.58,0.5948717948717949
12,bridge,87,18,13,9882,0.8285714285714286,0.87,0.848780487804878
13,bus,69,8,31,9892,0.8961038961038961,0.69,0.7796610169491525
14,butterfly,93,13,7,9887,0.8773584905660378,0.93,0.9029126213592233
15,camel,88,10,12,9890,0.8979591836734694,0.88,0.888888888888889
16,can,82,6,18,9894,0.9318181818181818,0.82,0.8723404255319149
17,castle,86,4,14,9896,0.9555555555555556,0.86,0.9052631578947369
18,caterpillar,82,8,18,9892,0.9111111111111111,0.82,0.8631578947368421
19,cattle,82,15,18,9885,0.845360824742268,0.82,0.83248730964467
20,chair,96,16,4,9884,0.8571428571428571,0.96,0.9056603773584904
21,chimpanzee,93,4,7,9896,0.9587628865979382,0.93,0.9441624365482233
22,clock,89,21,11,9879,0.8090909090909091,0.89,0.8476190476190476
23,cloud,85,11,15,9889,0.8854166666666666,0.85,0.8673469387755102
24,cockroach,92,10,8,9890,0.9019607843137255,0.92,0.9108910891089109
25,couch,78,17,22,9883,0.8210526315789474,0.78,0.8
26,crab,84,36,16,9864,0.7,0.84,0.7636363636363636
27,crocodile,75,14,25,9886,0.8426966292134831,0.75,0.7936507936507935
28,cup,91,19,9,9881,0.8272727272727273,0.91,0.8666666666666667
29,dinosaur,81,13,19,9887,0.8617021276595744,0.81,0.8350515463917526
30,dolphin,76,23,24,9877,0.7676767676767676,0.76,0.763819095477387
31,elephant,81,8,19,9892,0.9101123595505618,0.81,0.8571428571428572
32,flatfish,76,9,24,9891,0.8941176470588236,0.76,0.8216216216216216
33,forest,76,24,24,9876,0.76,0.76,0.76
34,fox,79,8,21,9892,0.9080459770114943,0.79,0.8449197860962566
35,girl,61,41,39,9859,0.5980392156862745,0.61,0.6039603960396039
36,hamster,95,12,5,9888,0.8878504672897196,0.95,0.9178743961352657
37,house,81,20,19,9880,0.801980198019802,0.81,0.8059701492537314
38,kangaroo,85,25,15,9875,0.7727272727272727,0.85,0.8095238095238095
39,keyboard,94,3,6,9897,0.9690721649484536,0.94,0.9543147208121826
40,lamp,84,20,16,9880,0.8076923076923077,0.84,0.8235294117647058
41,lawn_mower,93,12,7,9888,0.8857142857142857,0.93,0.9073170731707316
42,leopard,79,10,21,9890,0.8876404494382022,0.79,0.8359788359788359
43,lion,91,10,9,9890,0.900990099009901,0.91,0.9054726368159204
44,lizard,75,32,25,9868,0.7009345794392523,0.75,0.7246376811594203
45,lobster,73,18,27,9882,0.8021978021978022,0.73,0.7643979057591622
46,man,70,35,30,9865,0.6666666666666666,0.7,0.6829268292682926
47,maple_tree,76,45,24,9855,0.628099173553719,0.76,0.6877828054298643
48,motorcycle,95,8,5,9892,0.9223300970873787,0.95,0.9359605911330049
49,mountain,85,7,15,9893,0.9239130434782609,0.85,0.8854166666666666
50,mouse,74,17,26,9883,0.8131868131868132,0.74,0.774869109947644
51,mushroom,86,21,14,9879,0.8037383177570093,0.86,0.8309178743961353
52,oak_tree,68,39,32,9861,0.6355140186915887,0.68,0.6570048309178744
53,orange,97,18,3,9882,0.8434782608695652,0.97,0.9023255813953489
54,orchid,89,14,11,9886,0.8640776699029126,0.89,0.8768472906403941
55,otter,65,31,35,9869,0.6770833333333334,0.65,0.6632653061224489
56,palm_tree,92,8,8,9892,0.92,0.92,0.92
57,pear,87,11,13,9889,0.8877551020408163,0.87,0.8787878787878789
58,pickup_truck,93,18,7,9882,0.8378378378378378,0.93,0.8815165876777251
59,pine_tree,67,17,33,9883,0.7976190476190477,0.67,0.7282608695652173
60,plain,83,12,17,9888,0.8736842105263158,0.83,0.8512820512820513
61,plate,81,23,19,9877,0.7788461538461539,0.81,0.7941176470588236
62,poppy,74,7,26,9893,0.9135802469135802,0.74,0.8176795580110497
63,porcupine,80,16,20,9884,0.8333333333333334,0.8,0.816326530612245
64,possum,66,8,34,9892,0.8918918918918919,0.66,0.7586206896551725
65,rabbit,81,24,19,9876,0.7714285714285715,0.81,0.7902439024390244
66,raccoon,88,6,12,9894,0.9361702127659575,0.88,0.9072164948453608
67,ray,85,22,15,9878,0.794392523364486,0.85,0.8212560386473431
68,road,93,6,7,9894,0.9393939393939394,0.93,0.9346733668341709
69,rocket,90,9,10,9891,0.9090909090909091,0.9,0.9045226130653266
70,rose,83,8,17,9892,0.9120879120879121,0.83,0.869109947643979
71,sea,91,39,9,9861,0.7,0.91,0.791304347826087
72,seal,80,69,20,9831,0.5369127516778524,0.8,0.6425702811244981
73,shark,73,26,27,9874,0.7373737373737373,0.73,0.7336683417085427
74,shrew,73,37,27,9863,0.6636363636363637,0.73,0.6952380952380953
75,skunk,93,6,7,9894,0.9393939393939394,0.93,0.9346733668341709
76,skyscraper,96,6,4,9894,0.9411764705882353,0.96,0.9504950495049505
77,snail,83,14,17,9886,0.8556701030927835,0.83,0.8426395939086294
78,snake,78,26,22,9874,0.75,0.78,0.7647058823529411
79,spider,86,10,14,9890,0.8958333333333334,0.86,0.8775510204081632
80,squirrel,85,28,15,9872,0.7522123893805309,0.85,0.7981220657276995
81,streetcar,90,31,10,9869,0.743801652892562,0.9,0.8144796380090498
82,sunflower,94,1,6,9899,0.9894736842105263,0.94,0.964102564102564
83,sweet_pepper,83,12,17,9888,0.8736842105263158,0.83,0.8512820512820513
84,table,75,9,25,9891,0.8928571428571429,0.75,0.8152173913043479
85,tank,94,8,6,9892,0.9215686274509803,0.94,0.9306930693069307
86,telephone,84,9,16,9891,0.9032258064516129,0.84,0.8704663212435233
87,television,93,6,7,9894,0.9393939393939394,0.93,0.9346733668341709
88,tiger,90,15,10,9885,0.8571428571428571,0.9,0.8780487804878048
89,tractor,92,8,8,9892,0.92,0.92,0.92
90,train,87,10,13,9890,0.8969072164948454,0.87,0.883248730964467
91,trout,90,12,10,9888,0.8823529411764706,0.9,0.8910891089108911
92,tulip,83,24,17,9876,0.7757009345794392,0.83,0.8019323671497584
93,turtle,82,13,18,9887,0.8631578947368421,0.82,0.8410256410256411
94,wardrobe,96,3,4,9897,0.9696969696969697,0.96,0.964824120603015
95,whale,87,30,13,9870,0.7435897435897436,0.87,0.8018433179723502
96,willow_tree,65,18,35,9882,0.7831325301204819,0.65,0.7103825136612022
97,wolf,84,6,16,9894,0.9333333333333333,0.84,0.8842105263157894
98,woman,66,49,34,9851,0.5739130434782609,0.66,0.6139534883720932
99,worm,82,14,18,9886,0.8541666666666666,0.82,0.836734693877551
