Epoch,Training Accuracy,Test Accuracy,Training Loss,Test Loss,Learning Rate,Top-5 Accuracy
0,54.667999267578125,68.4000015258789,1.367135763168335,0.831301748752594,0.0010000000474974513,92.62999725341797
1,69.0199966430664,72.45999908447266,0.738781213760376,0.7368142008781433,0.0010000000474974513,94.06999969482422
2,74.40799713134766,75.31999969482422,0.5692107677459717,0.726965069770813,0.0009500000160187483,94.91000366210938
3,77.44999694824219,75.01000213623047,0.4442613422870636,0.7542266845703125,0.0008539292030036449,94.55999755859375
4,80.02799987792969,75.93000030517578,0.33114510774612427,0.6994566917419434,0.0008112327777780592,94.81999969482422
5,82.42400360107422,77.2300033569336,0.25710228085517883,0.7066982984542847,0.000770671118516475,95.3499984741211
6,83.9540023803711,77.30999755859375,0.20868389308452606,0.7280645966529846,0.0006926680798642337,95.16000366210938
7,85.72200012207031,77.37000274658203,0.16454310715198517,0.7325433492660522,0.0006226201658137143,95.05000305175781
8,87.09600067138672,77.41000366210938,0.1273462176322937,0.740388035774231,0.0005600409931503236,95.29000091552734
9,88.43800354003906,77.20999908447266,0.10058282315731049,0.7469049692153931,0.0005037080845795572,94.91000366210938
10,,,0.0710861012339592,0.619332492351532,0.0003461460000835359,
11,,,0.0509507991373539,0.6187734603881836,0.00020690126984845847,
12,,,0.039731916040182114,0.608451247215271,9.639601194066927e-05,
13,,,0.030991528183221817,0.604381799697876,2.544727067288477e-05,
14,,,0.027317959815263748,0.5988922715187073,0.0010000000474974513,
15,,,0.11007629334926605,0.8053967952728271,0.0009938502917066216,
16,,,0.22397929430007935,0.7731736898422241,0.0009755527134984732,
17,,,0.1886865645647049,0.7483972907066345,0.0009455577819608152,
18,,,0.13586555421352386,0.7477368712425232,0.0009046039776876569,
19,,,0.10659198462963104,0.7512882947921753,0.0008536998648196459,
20,,,0.07994870096445084,0.7392832040786743,0.0007940987125039101,
21,,,0.0623064860701561,0.7577461004257202,0.0007272682269103825,
22,,,0.04879307001829147,0.7250506281852722,0.0006548539968207479,
23,,,0.03708343952894211,0.7631980180740356,0.0005786390393041074,
24,,,0.031228188425302505,0.7421296834945679,0.0005005000275559723,
25,,,0.022202245891094208,0.7402616143226624,0.0004223609867040068,
26,,,0.018373481929302216,0.7384108901023865,0.0003461460000835359,
27,,,0.014884128235280514,0.7289703488349915,0.0002737317408900708,
28,,,0.012711562216281891,0.7199903726577759,0.00020690126984845847,
29,,,0.011479929089546204,0.7231041789054871,0.00014730016118846834,
